# bigram	count	reason	w0_pos	w1_pos
movement may	6	w1_ambiguous	{Noun}	{Verb, Noun}
enter gripe	6	w1_ambiguous	{Verb}	{Noun, Verb}
drawn along	6	both_ambiguous	{Verb, Adj}	{Prep, Adv}
lingered till	6	both_ambiguous	{Adj, Verb}	{Prep, Noun, Verb}
pensive face	6	w1_ambiguous	{Adj}	{Verb, Noun}
lord harry	6	w0_ambiguous	{Noun, Verb}	{Verb}
sudden suspicion	6	both_ambiguous	{Adv, Noun, Adj}	{Verb, Noun}
feet turned	6	w1_ambiguous	{Noun}	{Verb, Adj}
ship sailing	6	both_ambiguous	{Verb, Noun}	{Verb, Noun}
lights burned	6	w1_ambiguous	{Noun}	{Verb, Adj}
one direct	6	both_ambiguous	{Noun, Verb, Adj}	{Verb, Noun, Adj}
power seemed	6	w1_ambiguous	{Noun}	{Adj, Verb}
pertinent question	6	w1_ambiguous	{Adj}	{Noun, Verb}
solitary house	6	both_ambiguous	{Adj, Noun}	{Verb, Noun}
go freely	6	w0_ambiguous	{Adj, Verb, Noun}	{Adv}
then tearing	6	both_ambiguous	{Adv, Prep}	{Verb, Noun}
pleasing hope	6	both_ambiguous	{Noun, Adj, Verb}	{Noun, Verb}
flushed deeply	6	w0_ambiguous	{Verb, Adj}	{Adv}
early said	6	w1_ambiguous	{Adv}	{Verb, Adj}
very talkative	6	w0_ambiguous	{Verb, Adv}	{Adj}
should point	6	both_ambiguous	{Adj, Verb}	{Noun, Verb}
driver turned	6	w1_ambiguous	{Noun}	{Verb, Adj}
health may	6	w1_ambiguous	{Noun}	{Verb, Noun}
hoary age	6	w1_ambiguous	{Adj}	{Verb, Noun}
family shall	6	w1_missing	{Verb}	NONE
mere possession	6	both_ambiguous	{Noun, Verb}	{Verb, Noun}
reigned three	6	both_ambiguous	{Adj, Verb}	{Adj, Noun}
horse made	6	both_ambiguous	{Verb, Noun, Adj}	{Adj, Verb, Noun}
favorite amusement	6	w0_ambiguous	{Noun, Adj}	{Noun}
always worse	6	w1_ambiguous	{Adv}	{Adj, Noun, Verb}
perished utterly	6	w0_ambiguous	{Verb, Adj}	{Adv}
sound reached	6	both_ambiguous	{Adv, Adj, Noun, Verb}	{Verb, Adj}
exact size	6	both_ambiguous	{Verb, Adj}	{Noun, Verb}
rushed hither	6	both_ambiguous	{Verb, Adj}	{Adj, Adv}
full history	6	both_ambiguous	{Verb, Adv, Noun}	{Verb, Noun}
noble uncle	6	w0_ambiguous	{Adj, Noun, Verb}	{Noun}
bestir himself	6	w1_missing	{Verb}	NONE
said rise	6	both_ambiguous	{Verb, Adj}	{Noun, Verb}
other approved	6	both_ambiguous	{Adv, Prep}	{Adj, Verb}
answer thy	6	w1_missing	{Noun, Verb}	NONE
lamp threw	6	w1_ambiguous	{Noun}	{Adj, Verb}
closet where	6	both_ambiguous	{Verb, Noun}	{Noun, Adv, Prep}
white napkin	6	w0_ambiguous	{Verb, Adj, Noun}	{Noun}
laudable ambition	6	w1_ambiguous	{Verb}	{Noun, Verb}
reached brussels	6	w0_ambiguous	{Verb, Adj}	{Noun}
off hall	6	w0_ambiguous	{Adj, Prep, Noun, Adv}	{Noun}
car down	6	w1_ambiguous	{Noun}	{Noun, Adj, Prep, Verb, Adv}
savoy cake	6	w1_ambiguous	{Noun}	{Noun, Verb}
again desired	6	both_ambiguous	{Adv, Prep}	{Verb, Adj}
set alight	6	both_ambiguous	{Noun, Adj, Verb}	{Verb, Adj}
wood while	6	both_ambiguous	{Adj, Noun, Verb}	{Verb, Noun, Prep}
meet before	6	both_ambiguous	{Adj, Adv, Noun, Verb}	{Prep, Adv}
human dwelling	6	both_ambiguous	{Noun, Adj}	{Verb, Noun}
wicked way	6	w1_ambiguous	{Adj}	{Verb, Adv, Noun}
mysterious case	6	w1_ambiguous	{Adj}	{Verb, Noun}
also sought	6	w0_missing	NONE	{Adj, Verb}
beltane turning	6	w1_ambiguous	{Noun}	{Noun, Verb}
packed off	6	both_ambiguous	{Adj, Verb}	{Adj, Prep, Noun, Adv}
murder one	6	w1_ambiguous	{Noun}	{Noun, Verb, Adj}
strange dog	6	both_ambiguous	{Adj, Verb, Adv}	{Noun, Verb}
moses himself	6	w1_missing	{Noun}	NONE
silted up	6	both_ambiguous	{Verb, Adj}	{Adv, Prep, Noun, Adj}
season comes	6	w0_ambiguous	{Verb, Noun}	{Noun}
largely developed	6	w1_ambiguous	{Adv}	{Verb, Adj}
throbbing brain	6	both_ambiguous	{Noun, Verb}	{Verb, Noun}
instantly replied	6	w1_ambiguous	{Adv}	{Adj, Verb}
will invent	6	w0_ambiguous	{Adv, Noun, Verb}	{Verb}
place opposite	6	w1_ambiguous	{Noun}	{Noun, Adj}
extremely lively	6	w1_ambiguous	{Adv}	{Adj, Adv}
shalt dwell	6	w0_missing	NONE	{Verb}
congress would	6	w1_ambiguous	{Noun}	{Adj, Verb, Noun}
o folks	6	w1_missing	{Noun, Adj}	NONE
cartwright turned	6	w1_ambiguous	{Noun}	{Verb, Adj}
tree top	6	both_ambiguous	{Noun, Verb}	{Noun, Verb}
dish strew	6	w0_ambiguous	{Noun, Verb}	{Verb}
gradually falling	6	w1_ambiguous	{Adv}	{Noun, Verb, Adj}
kept track	6	both_ambiguous	{Adj, Verb}	{Noun, Verb}
board where	6	both_ambiguous	{Verb, Noun}	{Noun, Adv, Prep}
large dog	6	both_ambiguous	{Adv, Noun, Adj}	{Noun, Verb}
examine more	6	w1_ambiguous	{Verb}	{Verb, Noun, Adj, Adv}
coming event	6	both_ambiguous	{Adj, Noun}	{Verb, Noun}
rude way	6	w1_ambiguous	{Adj}	{Verb, Adv, Noun}
roman curia	6	w0_ambiguous	{Noun, Adj}	{Noun}
mount aventine	6	both_ambiguous	{Verb, Noun}	{Adj, Noun}
story put	6	both_ambiguous	{Verb, Noun}	{Noun, Adj, Verb}
gilt buttons	6	w0_ambiguous	{Noun, Verb, Adj}	{Noun}
proper element	6	both_ambiguous	{Adv, Adj}	{Noun, Verb}
limber up	6	both_ambiguous	{Adj, Noun, Verb}	{Adv, Prep, Noun, Adj}
very laborious	6	w0_ambiguous	{Verb, Adv}	{Adj}
employ themselves	6	w1_missing	{Noun, Verb}	NONE
properly considered	6	w1_ambiguous	{Adv}	{Verb, Adj}
asked then	6	both_ambiguous	{Adj, Verb}	{Adv, Prep}
own eloquence	6	w0_ambiguous	{Verb, Adj}	{Noun}
carry double	6	both_ambiguous	{Verb, Noun}	{Verb, Adj, Noun, Adv}
enjoyed without	6	both_ambiguous	{Adj, Verb}	{Adv, Prep}
street past	6	w1_ambiguous	{Adj}	{Prep, Adv, Verb, Noun}
dark sky	6	both_ambiguous	{Adj, Noun, Verb}	{Noun, Verb}
preceding experiment	6	both_ambiguous	{Adj, Verb, Noun}	{Verb, Noun}
friendly like	6	both_ambiguous	{Adv, Adj}	{Verb, Noun, Adj}
now major	6	w0_ambiguous	{Noun, Adv, Adj}	{Adj}
another dead	6	w0_missing	NONE	{Verb, Adj, Adv, Noun}
never getting	6	w1_ambiguous	{Adv}	{Verb, Noun}
strongly suspected	6	w1_ambiguous	{Adv}	{Verb, Adj}
spoke latin	6	both_ambiguous	{Adj, Verb, Noun}	{Verb, Noun, Adj}
men beside	6	w1_ambiguous	{Noun}	{Noun, Adv}
large meeting	6	both_ambiguous	{Adv, Noun, Adj}	{Verb, Noun}
some startling	6	w1_ambiguous	{Adj}	{Noun, Verb}
bad just	6	both_ambiguous	{Verb, Adj}	{Adv, Verb, Adj, Noun}
would devour	6	w0_ambiguous	{Adj, Verb, Noun}	{Verb}
foundation laid	6	w1_ambiguous	{Noun}	{Adj, Verb}
gone thither	6	both_ambiguous	{Adj, Verb}	{Adj, Adv}
singular instance	6	both_ambiguous	{Noun, Adj}	{Verb, Noun}
broad sense	6	w0_ambiguous	{Noun, Adj}	{Verb}
after staring	6	both_ambiguous	{Adj, Prep, Adv}	{Verb, Noun}
young womanhood	6	w0_ambiguous	{Adj, Noun}	{Noun}
sight alone	6	w1_ambiguous	{Verb}	{Adv, Adj}
brigade made	6	both_ambiguous	{Verb, Noun}	{Adj, Verb, Noun}
utmost respect	6	w0_ambiguous	{Noun, Adj}	{Verb}
rash act	6	both_ambiguous	{Noun, Verb, Adj}	{Verb, Noun}
oh goodness	6	w0_missing	NONE	{Noun}
great necessities	6	w0_ambiguous	{Noun, Adj}	{Noun}
window would	6	both_ambiguous	{Verb, Noun}	{Adj, Verb, Noun}
spies out	6	w1_ambiguous	{Noun}	{Verb, Noun, Adj}
revealing scenery	6	w0_ambiguous	{Noun, Verb}	{Noun}
new poet	6	w0_ambiguous	{Adj, Adv, Verb}	{Noun}
stupid fellow	6	w1_ambiguous	{Adj}	{Noun, Verb}
little intermission	6	w0_ambiguous	{Adj, Noun, Adv}	{Noun}
roast pheasant	6	w0_ambiguous	{Verb, Noun, Adj}	{Noun}
hold again	6	both_ambiguous	{Noun, Verb}	{Adv, Prep}
paul knew	6	w1_ambiguous	{Noun}	{Verb, Adj}
second step	6	both_ambiguous	{Noun, Adj}	{Adj, Verb}
passing near	6	both_ambiguous	{Noun, Adj, Adv, Verb}	{Verb, Adv, Adj, Prep}
go play	6	both_ambiguous	{Adj, Verb, Noun}	{Noun, Verb}
fate shall	6	w1_missing	{Noun}	NONE
more resemble	6	w0_ambiguous	{Verb, Noun, Adj, Adv}	{Verb}
note o	6	both_ambiguous	{Verb, Noun}	{Noun, Adj}
never repent	6	w1_ambiguous	{Adv}	{Verb, Adj}
shooting through	6	both_ambiguous	{Verb, Adj, Noun}	{Adv, Adj, Prep}
present ministry	6	w0_ambiguous	{Noun, Verb, Adj}	{Noun}
cannot scape	6	w0_missing	NONE	{Verb, Noun}
sat knitting	6	both_ambiguous	{Adj, Verb}	{Noun, Verb}
preparation will	6	w1_ambiguous	{Noun}	{Adv, Noun, Verb}
school without	6	both_ambiguous	{Verb, Noun}	{Adv, Prep}
now daughter	6	w0_ambiguous	{Noun, Adv, Adj}	{Noun}
even allow	6	w0_ambiguous	{Noun, Verb, Adj}	{Verb}
thrown loose	6	both_ambiguous	{Verb, Adj}	{Adj, Verb, Noun}
question immediately	6	w0_ambiguous	{Noun, Verb}	{Adv}
never engaged	6	w1_ambiguous	{Adv}	{Adj, Verb}
line beginning	6	both_ambiguous	{Verb, Noun}	{Noun, Verb}
seek relief	6	w0_ambiguous	{Adj, Verb}	{Noun}
soldier now	6	both_ambiguous	{Noun, Verb}	{Noun, Adv, Adj}
first quarrel	6	both_ambiguous	{Adv, Noun, Adj}	{Noun, Verb}
love feast	6	both_ambiguous	{Noun, Verb}	{Verb, Noun}
chop wood	6	both_ambiguous	{Verb, Noun}	{Adj, Noun, Verb}
great herd	6	both_ambiguous	{Noun, Adj}	{Adj, Noun, Verb}
far forgot	6	both_ambiguous	{Adv, Noun, Adj}	{Verb, Adj}
evening classes	6	w0_ambiguous	{Verb, Noun}	{Noun}
happy till	6	w1_ambiguous	{Adj}	{Prep, Noun, Verb}
butter lay	6	both_ambiguous	{Noun, Verb}	{Noun, Verb, Adj}
change like	6	w1_ambiguous	{Verb}	{Verb, Noun, Adj}
willow wand	6	w0_ambiguous	{Verb, Noun}	{Noun}
indeed know	6	w1_ambiguous	{Adv}	{Noun, Verb}
escaped destruction	6	w0_ambiguous	{Adj, Verb}	{Noun}
face radiant	6	both_ambiguous	{Verb, Noun}	{Noun, Adj}
sudden while	6	both_ambiguous	{Adv, Noun, Adj}	{Verb, Noun, Prep}
now draw	6	both_ambiguous	{Noun, Adv, Adj}	{Noun, Verb}
importance attached	6	w1_ambiguous	{Noun}	{Verb, Adj}
farewell kind	6	both_ambiguous	{Adj, Noun}	{Verb, Adj}
onward course	6	both_ambiguous	{Adv, Adj}	{Noun, Verb}
deck before	6	w1_ambiguous	{Verb}	{Prep, Adv}
trifling matter	6	both_ambiguous	{Verb, Noun, Adj}	{Noun, Verb}
iron jaw	6	both_ambiguous	{Verb, Noun}	{Verb, Noun}
some dripping	6	w1_ambiguous	{Adj}	{Verb, Noun}
dying request	6	both_ambiguous	{Noun, Adj, Verb}	{Verb, Noun}
commons will	6	w1_ambiguous	{Noun}	{Adv, Noun, Verb}
friend go	6	both_ambiguous	{Noun, Verb}	{Adj, Verb, Noun}
jest then	6	both_ambiguous	{Verb, Noun}	{Adv, Prep}
conquest made	6	w1_ambiguous	{Noun}	{Adj, Verb, Noun}
daisies pied	6	w1_ambiguous	{Noun}	{Adj, Verb}
charming spot	6	both_ambiguous	{Noun, Verb, Adj}	{Verb, Noun}
will crack	6	both_ambiguous	{Adv, Noun, Verb}	{Noun, Adj, Verb}
rolled past	6	both_ambiguous	{Verb, Adj}	{Prep, Adv, Verb, Noun}
something moved	6	both_ambiguous	{Noun, Adv}	{Verb, Adj}
heat gradually	6	w0_ambiguous	{Adj, Noun, Verb}	{Adv}
lady temple	6	both_ambiguous	{Noun, Adj}	{Noun, Verb}
difference will	6	both_ambiguous	{Noun, Verb}	{Adv, Noun, Verb}
innate law	6	both_ambiguous	{Adj, Verb}	{Verb, Noun}
blamed thing	6	w0_ambiguous	{Adj, Verb}	{Noun}
possible reason	6	w1_ambiguous	{Adj}	{Verb, Noun}
now leaving	6	both_ambiguous	{Noun, Adv, Adj}	{Verb, Noun}
utter now	6	w1_ambiguous	{Adj}	{Noun, Adv, Adj}
once drawn	6	w1_ambiguous	{Adv}	{Verb, Adj}
most degrading	6	w1_ambiguous	{Adj}	{Verb, Noun}
didst swear	6	w0_missing	NONE	{Verb}
high steward	6	both_ambiguous	{Adv, Adj, Noun, Verb}	{Verb, Noun}
take poor	6	both_ambiguous	{Verb, Noun, Adj}	{Adj, Noun}
shivered slightly	6	w0_ambiguous	{Verb, Adj}	{Adv}
however pure	6	w0_ambiguous	{Prep, Adv}	{Adj}
least suspect	6	both_ambiguous	{Adj, Adv, Prep}	{Adj, Verb}
only crime	6	w0_ambiguous	{Adj, Prep}	{Noun}
moved further	6	both_ambiguous	{Verb, Adj}	{Adv, Adj}
fellow comes	6	w0_ambiguous	{Noun, Verb}	{Noun}
prove myself	6	w1_missing	{Verb}	NONE
home gave	6	both_ambiguous	{Noun, Adj, Adv}	{Verb, Adj}
remain very	6	both_ambiguous	{Verb, Noun}	{Verb, Adv}
mentioned already	6	w0_ambiguous	{Adj, Verb}	{Adv}
instant longer	6	w0_ambiguous	{Adv, Adj}	{Noun}
heavily charged	6	w1_ambiguous	{Adv}	{Verb, Adj}
ourselves here	6	w1_ambiguous	{Noun}	{Adv, Noun}
other scheme	6	both_ambiguous	{Adv, Prep}	{Verb, Noun}
naturally make	6	w1_ambiguous	{Adv}	{Verb, Noun}
finger when	6	w0_ambiguous	{Noun, Verb}	{Adv}
worse place	6	w0_ambiguous	{Adj, Noun, Verb}	{Noun}
another guest	6	w0_missing	NONE	{Verb, Noun}
faithful picture	6	w1_ambiguous	{Adj}	{Noun, Verb}
spread himself	6	w1_missing	{Verb, Adj, Noun}	NONE
arm toward	6	both_ambiguous	{Noun, Verb}	{Adv, Prep}
chicken pie	6	w1_ambiguous	{Noun}	{Noun, Verb}
head either	6	w1_missing	{Verb, Noun, Adj}	NONE
darkness between	6	w1_ambiguous	{Noun}	{Prep, Noun}
long confinement	6	w0_ambiguous	{Adv, Adj, Noun, Prep}	{Noun}
chance like	6	both_ambiguous	{Adv, Adj, Noun, Verb}	{Verb, Noun, Adj}
sake will	6	w1_ambiguous	{Noun}	{Adv, Noun, Verb}
more feet	6	w0_ambiguous	{Verb, Noun, Adj, Adv}	{Noun}
shot captain	6	both_ambiguous	{Adj, Verb, Noun}	{Noun, Adj, Verb}
little fly	6	both_ambiguous	{Adj, Noun, Adv}	{Adj, Verb}
spoke rapidly	6	w0_ambiguous	{Adj, Verb, Noun}	{Adv}
time scarcely	6	w0_ambiguous	{Verb, Noun}	{Adv}
other got	6	both_ambiguous	{Adv, Prep}	{Adj, Verb}
cross said	6	both_ambiguous	{Noun, Adj, Verb, Prep}	{Verb, Adj}
said call	6	both_ambiguous	{Verb, Adj}	{Noun, Verb}
induce one	6	w1_ambiguous	{Verb}	{Noun, Verb, Adj}
speak however	6	w1_ambiguous	{Verb}	{Prep, Adv}
long shallow	6	both_ambiguous	{Adv, Adj, Noun, Prep}	{Noun, Verb, Adj}
first animal	6	both_ambiguous	{Adv, Noun, Adj}	{Adj, Noun}
appropriate place	6	w0_ambiguous	{Noun, Verb, Adj}	{Noun}
lady lady	6	both_ambiguous	{Noun, Adj}	{Noun, Adj}
worked around	6	both_ambiguous	{Verb, Adj}	{Prep, Adv}
two staring	6	w1_ambiguous	{Noun}	{Verb, Noun}
getting fresh	6	both_ambiguous	{Verb, Noun}	{Adj, Verb, Noun}
lunar world	6	w0_ambiguous	{Adj, Noun}	{Noun}
wild like	6	both_ambiguous	{Adj, Adv, Noun}	{Verb, Noun, Adj}
frightened sheep	6	w1_missing	{Adj, Verb}	NONE
large trunk	6	both_ambiguous	{Adv, Noun, Adj}	{Verb, Noun}
then stole	6	both_ambiguous	{Adv, Prep}	{Noun, Verb, Adj}
brave officer	6	both_ambiguous	{Adj, Verb, Noun}	{Verb, Noun}
exclaimed inspector	6	w0_ambiguous	{Verb, Adj}	{Noun}
th anniversary	6	w0_missing	NONE	{Noun, Adj}
conversation made	6	w1_ambiguous	{Noun}	{Adj, Verb, Noun}
found sitting	6	both_ambiguous	{Noun, Adj, Verb}	{Noun, Verb, Adj}
neighboring hill	6	both_ambiguous	{Adj, Noun, Verb}	{Verb, Noun}
church work	6	both_ambiguous	{Verb, Noun}	{Verb, Noun}
excellent reading	6	both_ambiguous	{Adj, Adv}	{Adj, Noun, Verb}
deep baying	6	both_ambiguous	{Adv, Adj, Noun}	{Noun, Verb}
almost thirty	6	w1_ambiguous	{Adv}	{Noun, Adj}
air out	6	w1_ambiguous	{Noun}	{Verb, Noun, Adj}
wonder could	6	both_ambiguous	{Verb, Noun, Adv, Adj}	{Adj, Verb}
spot without	6	both_ambiguous	{Verb, Noun}	{Adv, Prep}
tiring day	6	w0_ambiguous	{Verb, Noun}	{Noun}
political club	6	w1_ambiguous	{Adj}	{Noun, Verb}
real gentleman	6	w0_ambiguous	{Adj, Noun}	{Noun}
slow length	6	both_ambiguous	{Adj, Verb, Adv, Noun}	{Verb, Adj}
thy feeble	6	w0_missing	NONE	{Verb, Adj}
slowly till	6	w1_ambiguous	{Adv}	{Prep, Noun, Verb}
go visit	6	w0_ambiguous	{Adj, Verb, Noun}	{Verb}
neither hast	6	w1_missing	{Prep, Adj}	NONE
main pine	6	both_ambiguous	{Adj, Verb, Noun}	{Noun, Verb}
doth stay	6	w0_missing	NONE	{Verb, Noun}
oliver lodge	6	w1_ambiguous	{Noun}	{Noun, Verb}
thou wottest	6	w1_missing	{Verb}	NONE
another bear	6	w0_missing	NONE	{Verb, Noun}
silent witness	6	w0_ambiguous	{Adj, Noun}	{Verb}
last fact	6	w0_ambiguous	{Adj, Noun, Verb}	{Noun}
slowly coming	6	w1_ambiguous	{Adv}	{Adj, Noun}
entire forgetfulness	6	w0_ambiguous	{Noun, Adj}	{Noun}
new fear	6	both_ambiguous	{Adj, Adv, Verb}	{Verb, Noun}
english plant	6	both_ambiguous	{Adj, Verb, Noun}	{Noun, Verb}
persuade yourself	6	w1_missing	{Verb, Noun}	NONE
entirely prevented	6	w1_ambiguous	{Adv}	{Verb, Adj}
heart sang	6	w1_missing	{Verb, Noun}	NONE
another process	6	w0_missing	NONE	{Noun}
never entertained	6	w1_ambiguous	{Adv}	{Verb, Adj}
other grains	6	w0_ambiguous	{Adv, Prep}	{Noun}
universal sympathy	6	w0_ambiguous	{Adj, Noun}	{Noun}
peculiar advantage	6	both_ambiguous	{Adj, Noun}	{Noun, Verb}
where fortune	6	both_ambiguous	{Noun, Adv, Prep}	{Noun, Verb}
still coming	6	both_ambiguous	{Verb, Noun, Adj, Adv}	{Adj, Noun}
word nevermore	6	w0_ambiguous	{Noun, Verb}	{Adv}
natural hair	6	w0_ambiguous	{Adj, Noun}	{Noun}
supply would	6	both_ambiguous	{Adj, Verb, Noun}	{Adj, Verb, Noun}
other germans	6	w0_ambiguous	{Adv, Prep}	{Noun}
eddy discoverer	6	w0_ambiguous	{Verb, Noun}	{Noun}
protecting arms	6	w0_ambiguous	{Noun, Verb}	{Noun}
himself driven	6	w0_missing	NONE	{Adj, Verb}
dressing fish	6	both_ambiguous	{Verb, Noun}	{Verb, Noun}
parian marble	6	both_ambiguous	{Noun, Adj}	{Noun, Adj}
depend more	6	w1_ambiguous	{Verb}	{Verb, Noun, Adj, Adv}
bear anything	6	both_ambiguous	{Verb, Noun}	{Noun, Adv}
love anything	6	both_ambiguous	{Noun, Verb}	{Noun, Adv}
flour smoothly	6	w0_ambiguous	{Noun, Verb}	{Adv}
happily over	6	w1_ambiguous	{Adv}	{Adj, Prep, Noun, Adv}
warm pressure	6	w0_ambiguous	{Noun, Adj, Verb}	{Noun}
without encouragement	6	w0_ambiguous	{Adv, Prep}	{Noun}
betty looked	6	w1_ambiguous	{Noun}	{Verb, Adj}
eminent merit	6	w1_ambiguous	{Adj}	{Verb, Noun}
probably taken	6	w1_missing	{Adv}	NONE
parted here	6	both_ambiguous	{Verb, Adj}	{Adv, Noun}
hold three	6	both_ambiguous	{Noun, Verb}	{Adj, Noun}
merry tale	6	both_ambiguous	{Noun, Adj}	{Noun, Verb}
veil thy	6	w1_missing	{Noun}	NONE
lie very	6	both_ambiguous	{Verb, Noun}	{Verb, Adv}
former pupil	6	w0_ambiguous	{Adj, Noun}	{Noun}
wear while	6	both_ambiguous	{Noun, Verb}	{Verb, Noun, Prep}
obscure village	6	w0_ambiguous	{Noun, Verb, Adj}	{Noun}
seek new	6	both_ambiguous	{Adj, Verb}	{Adj, Adv, Verb}
turned still	6	both_ambiguous	{Verb, Adj}	{Verb, Noun, Adj, Adv}
thus aroused	6	both_ambiguous	{Adv, Noun}	{Adj, Verb}
long linen	6	w0_ambiguous	{Adv, Adj, Noun, Prep}	{Noun}
bow again	6	both_ambiguous	{Verb, Noun}	{Adv, Prep}
united state	6	both_ambiguous	{Verb, Adj}	{Noun, Verb, Adj}
second sea	6	w0_ambiguous	{Noun, Adj}	{Noun}
deep crimson	6	both_ambiguous	{Adv, Adj, Noun}	{Adj, Noun, Verb}
busy talking	6	both_ambiguous	{Adj, Verb}	{Verb, Adj, Noun}
declared uncle	6	w0_ambiguous	{Adj, Verb}	{Noun}
exeunt mistress	6	w0_missing	NONE	{Noun, Verb}
unerring guide	6	w1_ambiguous	{Adj}	{Verb, Noun}
doctor found	6	both_ambiguous	{Noun, Verb}	{Noun, Adj, Verb}
own deliverance	6	w0_ambiguous	{Verb, Adj}	{Noun}
became secretary	6	w0_ambiguous	{Adj, Verb}	{Noun}
sick folks	6	w1_missing	{Noun, Verb, Adj}	NONE
midnight sir	6	w0_ambiguous	{Noun, Adj}	{Noun}
low table	6	both_ambiguous	{Adv, Adj, Noun, Verb}	{Verb, Noun}
out free	6	both_ambiguous	{Verb, Noun, Adj}	{Adv, Adj}
returning thither	6	both_ambiguous	{Noun, Verb}	{Adj, Adv}
square piece	6	both_ambiguous	{Noun, Verb, Adj}	{Noun, Verb}
carrying everything	6	w0_ambiguous	{Verb, Noun}	{Noun}
almost tore	6	w1_ambiguous	{Adv}	{Verb, Noun, Adj}
even allowing	6	both_ambiguous	{Noun, Verb, Adj}	{Noun, Verb}
one representative	6	both_ambiguous	{Noun, Verb, Adj}	{Adj, Noun}
taken several	6	w0_missing	NONE	{Noun, Adv, Adj}
dive under	6	both_ambiguous	{Noun, Verb}	{Adj, Prep, Adv}
language about	6	both_ambiguous	{Noun, Verb}	{Adv, Prep}
stately mansion	6	both_ambiguous	{Adj, Adv}	{Noun, Verb}
vine smiled	6	w1_ambiguous	{Noun}	{Adj, Verb}
ever rise	6	w1_ambiguous	{Adv}	{Noun, Verb}
sight hath	6	w1_missing	{Verb}	NONE
without writing	6	both_ambiguous	{Adv, Prep}	{Noun, Verb}
free school	6	both_ambiguous	{Adv, Adj}	{Verb, Noun}
heaven preserve	6	both_ambiguous	{Verb, Noun}	{Noun, Verb}
barred window	6	both_ambiguous	{Verb, Adj}	{Verb, Noun}
walking near	6	both_ambiguous	{Noun, Verb}	{Verb, Adv, Adj, Prep}
flowed back	6	both_ambiguous	{Verb, Adj}	{Adj, Verb, Noun, Adv}
better opportunities	6	w0_ambiguous	{Noun, Adj, Verb}	{Noun}
thee charge	6	w1_ambiguous	{Adj}	{Verb, Noun}
history after	6	both_ambiguous	{Verb, Noun}	{Adj, Prep, Adv}
indian princess	6	w0_ambiguous	{Adj, Noun}	{Noun}
independent man	6	both_ambiguous	{Adj, Noun}	{Noun, Verb}
earth above	6	both_ambiguous	{Verb, Noun}	{Prep, Adv}
received nothing	6	both_ambiguous	{Verb, Adj}	{Adv, Noun}
lest other	6	both_ambiguous	{Noun, Verb, Adj}	{Adv, Prep}
furnish forth	6	both_ambiguous	{Verb, Noun}	{Prep, Adv, Noun}
proved however	6	both_ambiguous	{Adj, Verb}	{Prep, Adv}
people follow	6	w0_ambiguous	{Verb, Noun}	{Verb}
apparently well	6	w1_ambiguous	{Adv}	{Verb, Adj}
night gave	6	w1_ambiguous	{Noun}	{Verb, Adj}
church c	6	w1_missing	{Verb, Noun}	NONE
little friendly	6	both_ambiguous	{Adj, Noun, Adv}	{Adv, Adj}
found refuge	6	both_ambiguous	{Noun, Adj, Verb}	{Verb, Noun}
call hither	6	both_ambiguous	{Noun, Verb}	{Adj, Adv}
cheerful companion	6	w1_ambiguous	{Adj}	{Noun, Verb}
mortal tongue	6	both_ambiguous	{Noun, Adj}	{Verb, Noun}
truce between	6	w1_ambiguous	{Noun}	{Prep, Noun}
conquered enemy	6	both_ambiguous	{Adj, Verb}	{Noun, Adj}
sit without	6	w1_ambiguous	{Verb}	{Adv, Prep}
family pew	6	w1_ambiguous	{Verb}	{Noun, Verb}
almost covered	6	w1_ambiguous	{Adv}	{Verb, Adj}
replied there	6	w1_missing	{Adj, Verb}	NONE
new career	6	both_ambiguous	{Adj, Adv, Verb}	{Noun, Verb}
crying now	6	both_ambiguous	{Noun, Adj, Verb}	{Noun, Adv, Adj}
more seemly	6	both_ambiguous	{Verb, Noun, Adj, Adv}	{Adj, Verb}
little missy	6	both_ambiguous	{Adj, Noun, Adv}	{Adj, Noun}
blow off	6	both_ambiguous	{Noun, Verb}	{Adj, Prep, Noun, Adv}
pounder gun	6	w1_ambiguous	{Noun}	{Noun, Verb}
dance little	6	w1_ambiguous	{Verb}	{Adj, Noun, Adv}
public functionaries	6	w0_ambiguous	{Adj, Noun}	{Noun}
ever devised	6	w1_ambiguous	{Adv}	{Verb, Adj}
wholly devoted	6	w1_ambiguous	{Adv}	{Adj, Verb}
get burnt	6	both_ambiguous	{Verb, Noun}	{Verb, Adj}
tend much	6	both_ambiguous	{Adj, Verb}	{Adj, Noun}
voice told	6	both_ambiguous	{Verb, Noun}	{Verb, Adj}
way leading	6	both_ambiguous	{Verb, Adv, Noun}	{Verb, Noun, Adj}
practical reason	6	w1_ambiguous	{Adj}	{Verb, Noun}
never bore	6	w1_ambiguous	{Adv}	{Verb, Noun, Adj}
will absorb	6	w0_ambiguous	{Adv, Noun, Verb}	{Verb}
assembly room	6	w1_ambiguous	{Noun}	{Verb, Noun, Adj}
facing about	6	both_ambiguous	{Verb, Noun}	{Adv, Prep}
quoted here	6	both_ambiguous	{Adj, Verb}	{Adv, Noun}
government came	6	w1_ambiguous	{Noun}	{Verb, Noun, Adj}
asked slowly	6	w0_ambiguous	{Adj, Verb}	{Adv}
people worship	6	both_ambiguous	{Verb, Noun}	{Adj, Verb}
hold hard	6	both_ambiguous	{Noun, Verb}	{Verb, Adj, Adv, Noun}
